,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,本番年齢
72,72,2016/04/03,2阪神4,曇,11.0,産経大阪杯(G2),,11,2.0,2,3.0,1,4,Ｍ．デム,58,芝2000,良,-12.0,1:59.7,0.4,110.0,7-7-5-6,36.8-33.6,33.4,492(+4),,,アンビシャス,1000.0,4,75809.50000000003,2707.482142857144,0.4892857142857143,102.14285714285714,0,-3,-0.10714285714285714,35.103571428571435,0.7546174142480211,6
73,73,2016/06/04,3阪神1,曇,11.0,鳴尾記念(G3),,14.0,7.0,12,3.3,2,2,戸崎圭太,56,芝2000,良,-18.0,1:57.6,0.0,109.0,8-8-6-6,35.9-35.1,34.6,486(+9),,,サトノノブレス,1614.0,5,19825.7,1416.1214285714286,0.17142857142857143,99.28571428571429,-3,6,0.46153846153846156,34.34285714285715,0.8608247422680413,5
74,74,2016/02/14,2京都6,晴,11.0,京都記念(G2),,15,4.0,7,9.2,6,1,Ｍ．デム,56,芝2200,重,41.0,2:17.7,-0.5,111.0,2-2-3-1,38.0-36.7,36.6,474(-6),,,(タッチングスピーチ),6305.0,6,20992.0,2998.8571428571427,0.2285714285714286,100.0,4,4,0.5714285714285714,34.714285714285715,0.7676767676767676,4
75,75,2016/02/28,2中山2,晴,11.0,中山記念(G2),,11,6.0,7,21.9,7,6,ベリー,56.0,芝1800,良,-10.0,1:46.4,0.5,110.0,2-2-2-1,36.5-34.9,35.3,496(0),,,ドゥラメンテ,0.0,7,44358.9,1706.1115384615384,0.2846153846153846,101.0,-2,1,0.038461538461538464,34.776923076923076,0.7595307917888563,6
76,76,2016/06/04,3阪神1,曇,11.0,鳴尾記念(G3),,14,3.0,3,3.8,3,1,川田将雅,56.0,芝2000,良,-18.0,1:57.6,0.0,109.0,4-4-3-2,35.9-35.1,34.8,504(-10),,,(ステファノス),4149.0,8,36026.299999999996,1441.052,0.38,102.24,-3,-6,-0.25,34.62800000000001,0.7403314917127072,6
77,77,2016/05/01,3京都4,晴,11.0,天皇賞(春)(G1),,18,4.0,8,6.4,3.0,3,福永祐一,58,芝3200,良,-11.0,3:15.5,0.2,112.0,9-9-11-9,37.5-35.0,34.5,468(-2),,,キタサンブラック,3854.0,9,19104.299999999996,1469.561538461538,0.03846153846153846,95.46153846153847,0,-9,-0.6923076923076923,34.50000000000001,0.8709677419354839,4
78,78,2016/05/29,2東京12,晴,12,目黒記念(G2),,18,5,10,24.0,8,3,小牧太,58.0,芝2500,良,-16,2:30.7,0.1,106,10-8-8-7,29.7-34.9,34.5,512(-4),,,クリプトグラム,1418.2,10,39796.3,884.3622222222223,0.7444444444444442,98.2,0,31,0.6888888888888889,35.36222222222223,0.619281045751634,8
79,79,2016/05/01,3京都4,晴,11.0,天皇賞(春)(G1),,18.0,2.0,3,99.2,13,2,池添謙一,58.0,芝3200,良,-11.0,3:15.3,0.0,112.0,3-3-3-3,37.5-35.0,34.8,458(-2),,,キタサンブラック,6108.0,11,35359.399999999994,1039.9823529411763,0.37058823529411766,99.23529411764706,0,-6,-0.17647058823529413,35.15882352941178,0.7262180974477959,8
80,80,2016/05/29,2東京12,晴,12,目黒記念(G2),,18,8,16,5.2,2,6,ルメール,55,芝2500,良,-16,2:31.0,0.4,106,16-16-17-17,29.7-34.9,34.0,466(-4),,出遅れ,クリプトグラム,0.0,12,11436.400000000001,1039.6727272727273,0.4181818181818182,96.0909090909091,0,13,1.1818181818181819,34.80909090909091,0.7682926829268293,4
81,81,2016/06/04,3阪神1,曇,11,鳴尾記念(G3),,14,6,10,2.8,1,6,池添謙一,56,芝2000,良,-18,1:58.0,0.4,105,6-5-3-2,35.9-35.1,35.2,502(-2),,,サトノノブレス,0.0,13,19072.4,1121.9058823529413,0.3235294117647059,95.05882352941177,-2,11,0.6470588235294118,35.317647058823525,0.7342342342342343,4
82,82,2016/02/14,2京都6,晴,11.0,京都記念(G2),,15.0,6.0,10,8.8,5,6,内田博幸,57.0,芝2200,重,41.0,2:19.1,1.4,99.0,2-3-3-4,38.0-36.7,37.9,502(+4),,,サトノクラウン,0.0,14,36648.1,1928.8473684210526,0.4842105263157894,97.52631578947368,5,0,0.0,34.794736842105266,0.6498194945848376,5
83,83,2016/05/01,3京都4,晴,11,天皇賞(春)(G1),,18,5,9,17.4,7,5,酒井学,58,芝3200,良,-11,3:15.6,0.3,111,9-9-7-3,37.5-35.0,34.9,492(-12),,,キタサンブラック,1500.0,15,21328.0,1938.909090909091,0.5909090909090909,94.18181818181819,0,-7,-0.6363636363636364,35.38181818181818,0.7530864197530864,5
84,84,2016/04/03,2阪神4,曇,11,産経大阪杯(G2),,11,7.0,9,3.9,2,1,横山典弘,56.0,芝2000,良,-12.0,1:59.3,0.0,113.0,2-2-2-2,36.8-33.6,33.4,468(+4),,,(キタサンブラック),6778.4,16,20094.9,2009.4900000000002,-0.02000000000000001,101.6,-1,-2,-0.2,34.010000000000005,0.8962962962962963,4
85,85,2016/05/01,3京都4,晴,11.0,天皇賞(春)(G1),,18,3.0,5,7.4,4,8,ボウマン,58.0,芝3200,良,-11.0,3:15.8,0.5,110.0,15-16-17-16,37.5-35.0,34.4,460(-10),,,キタサンブラック,0.0,17,28044.200000000004,1558.0111111111114,0.33333333333333326,100.61111111111111,0,7,0.4117647058823529,34.97222222222223,0.7462121212121212,6
86,86,2015/06/06,3阪神1,晴,11.0,鳴尾記念(G3),,11,8.0,10,4.0,2,1,岩田康誠,57,芝2000,良,-7.0,1:58.8,-0.3,110.0,5-5-5-5,35.6-35.4,34.8,486(-8),,,(マジェスティハーツ),4039.9,1,27465.899999999994,1248.4499999999998,0.6045454545454546,99.9090909090909,-1,0,0.0,35.440909090909095,0.7162162162162162,5
87,87,2015/05/03,3京都4,晴,11.0,天皇賞(春)(G1),,17.0,6.0,12,26.3,9,10,浜中俊,56.0,芝3200,良,-18.0,3:15.6,0.9,107.0,16-15-15-16,36.1-35.3,35.0,448(-4),,,ゴールドシップ,0.0,2,30299.4,1893.7125,0.3312500000000001,101.0,0,10,0.625,34.643750000000004,0.7723577235772358,5
88,88,2015/05/17,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18,8.0,17,16.2,7,8,浜中俊,55,芝1600,良,-12.0,1:32.8,0.9,110.0,9-9,34.3-35.0,33.5,442(-10),,,ストレイトガール,0.0,3,13563.0,1130.25,0.3333333333333333,94.0,-1,14,1.1666666666666667,34.525,0.813953488372093,4
89,89,2014/10/26,4京都7,晴,11.0,菊花賞(G1),,18,1.0,2,6.9,3,1,酒井学,57,芝3000,良,-16.0,3:01.0,-0.1,120.0,5-5-5-2,37.0-34.9,34.5,484(0),,,(サウンズオブアース),14422.8,4,17528.0,2504.0,0.48571428571428577,87.57142857142857,-6,-8,-1.1428571428571428,35.128571428571426,0.8113207547169812,4
90,90,2015/05/17,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18,7.0,15,2.2,1,6,岩田康誠,55.0,芝1600,良,-12.0,1:32.5,0.6,112.0,6-6,34.3-35.0,33.5,452(+4),,,ストレイトガール,0.0,5,36729.99999999999,3339.0909090909086,0.06363636363636363,99.0909090909091,-1,4,0.36363636363636365,34.14545454545455,0.9177215189873418,4
91,91,2015/05/17,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18,3.0,6,5.5,2,7,藤岡康太,55,芝1600,良,-12.0,1:32.5,0.6,114.0,14-14,34.3-35.0,32.8,456(+4),,出遅れ,ストレイトガール,0.0,6,18822.1,1254.8066666666666,0.23333333333333328,98.06666666666666,-1,2,0.13333333333333333,33.77333333333333,0.7718446601941747,5
92,92,2015/06/06,3阪神1,晴,11.0,鳴尾記念(G3),,11,2.0,2,14.0,6,6,福永祐一,56,芝2000,良,-7.0,1:59.4,0.6,103.0,5-5-5-6,35.6-35.4,35.4,498(+4),,,ラブリーデイ,0.0,7,16971.699999999997,707.1541666666666,0.5625,98.125,-1,2,0.08333333333333333,34.775,0.6151603498542274,7
93,93,2015/04/05,2阪神4,曇,11.0,産経大阪杯(G2),,14,3.0,3,12.0,4,1,ルメール,55,芝2000,不,27.0,2:02.9,-0.3,115.0,11-11-11-11,36.6-37.1,35.9,468(+10),,,(キズナ),6599.4,8,27938.6,2149.123076923077,0.1769230769230769,95.84615384615384,2,26,2.1666666666666665,34.30769230769231,0.7727272727272727,5
94,94,2015/05/03,3京都4,晴,11.0,天皇賞(春)(G1),,17,2.0,3,191.8,16,5,秋山真一,58,芝3200,良,-18.0,3:15.0,0.3,110.0,11-11-12-10,36.1-35.3,34.8,518(+8),,,ゴールドシップ,1500.0,9,9699.8,242.49499999999998,0.5750000000000002,93.475,0,46,1.1794871794871795,35.27,0.5866935483870968,7
95,95,2015/05/31,2東京12,晴,12.0,目黒記念(G2),,18,4.0,8,11.7,7,8,福永祐一,54,芝2500,良,-14.0,2:30.4,0.7,105.0,7-7-7-6,30.3-35.0,35.3,494(+2),,,ヒットザターゲット,0.0,10,8970.2,448.51000000000005,0.395,94.5,0,7,0.35,34.47500000000001,0.7078189300411523,5
96,96,2014/12/28,4中山8,晴,10.0,有馬記念(G1),,16.0,2.0,3,11.8,5,13,横山典弘,55.0,芝2500,良,-6.0,2:36.0,0.7,102.0,5-5-6-10,31.1-34.6,34.4,492(+4),,,ジェンティルドンナ,0.0,11,36648.1,2819.084615384615,0.34615384615384615,94.3076923076923,2,-5,-0.38461538461538464,34.707692307692305,0.7473684210526316,4
97,97,2014/12/13,5阪神3,晴,11.0,チャレンジC(G3),,12.0,5.0,6,15.2,5,1,武豊,55.0,芝1800,良,-1.0,1:45.9,0.0,111.0,11-11,35.3-35.5,34.6,494(+6),,出遅れ,(デウスウルト),4044.1,12,10002.2,1250.275,0.775,94.75,0,-8,-1.0,35.2,0.6161616161616161,4
98,98,2015/05/03,3京都4,晴,11.0,天皇賞(春)(G1),,17.0,1.0,2,30.5,10,3,蛯名正義,58.0,芝3200,良,-18.0,3:14.8,0.1,110.0,2-2-3-1,36.1-35.3,35.3,454(0),,,ゴールドシップ,3851.6,13,27641.199999999993,987.1857142857141,0.31071428571428567,97.82142857142857,0,-6,-0.21428571428571427,35.17142857142857,0.791907514450867,7
99,99,2015/05/31,2東京12,晴,12.0,目黒記念(G2),,18,3.0,5,59.0,14,15,ルメール,57.5,芝2500,良,-14.0,2:31.2,1.5,100.0,11-11-13-12,30.3-35.0,35.6,438(+4),,出遅れ,ヒットザターゲット,0.0,14,26488.8,1059.552,0.632,98.4,0,13,0.5416666666666666,34.70799999999999,0.6064139941690962,7
100,100,2015/05/03,3京都4,晴,11.0,天皇賞(春)(G1),,17,1.0,1,4.6,2,1,横山典弘,58.0,芝3200,良,-18.0,3:14.7,0.0,112.0,14-14-3-4,36.1-35.3,35.0,510(+2),,出遅れ,(フェイムゲーム),15361.2,15,139776.69999999998,5824.029166666666,0.07916666666666666,105.04166666666667,0,-3,-0.125,35.15,0.8575949367088608,6
101,101,2015/05/31,2東京12,晴,12.0,目黒記念(G2),,18,2.0,4,6.7,3,9,岩田康誠,54,芝2500,良,-14.0,2:30.6,0.9,104.0,10-10-10-9,30.3-35.0,35.3,492(0),,出遅れ,ヒットザターゲット,0.0,16,9856.799999999997,448.03636363636355,0.34545454545454535,90.22727272727273,0,-4,-0.18181818181818182,34.418181818181814,0.7344398340248963,5
102,102,2014/05/04,3京都4,晴,11.0,天皇賞(春)(G1),,18,4.0,8,4.3,2,7,ウィリア,58.0,芝3200,良,-18.0,3:15.6,0.5,104.0,18-18-15-14,36.9-34.8,34.2,506(-2),,出遅れ,フェノーメノ,0.0,1,96711.49999999999,5372.86111111111,0.10555555555555556,103.16666666666667,0,-2,-0.1111111111111111,35.23888888888889,0.847457627118644,5
103,103,2014/06/07,3阪神1,曇,11.0,鳴尾記念(G3),,12.0,3.0,3,4.0,2,4,池添謙一,57.0,芝2000,良,-11.0,1:59.1,0.0,103.0,3-3-3-3,35.7-35.0,34.8,458(+2),,,エアソミュール,600.0,2,17436.4,697.456,0.28800000000000003,96.68,-1,-8,-0.32,35.092000000000006,0.7870967741935484,6
104,104,2014/05/18,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18,7.0,14,28.3,11,1,内田博幸,55.0,芝1600,良,-10.0,1:32.3,-0.1,113.0,1-1,34.7-34.3,34.3,456(-4),,,(メイショウマンボ),9394.8,3,42742.9,2374.605555555556,0.28333333333333327,98.44444444444444,-1,13,0.7222222222222222,34.55,0.7579365079365079,5
105,105,2014/05/04,3京都4,晴,11.0,天皇賞(春)(G1),,18,8.0,17,206.5,16,15,北村友一,58.0,芝3200,良,-18.0,3:16.6,1.5,98.0,3-3-3-3,36.9-34.8,36.0,520(+2),,,フェノーメノ,0.0,4,25770.7,780.9303030303031,0.7878787878787877,95.51515151515152,1,30,0.9090909090909091,35.57272727272728,0.6363636363636364,6
106,106,2014/05/18,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18.0,2.0,3,10.3,4,7,浜中俊,55.0,芝1600,良,-10.0,1:32.7,0.4,114.0,15-15,34.7-34.3,33.2,438(0),,出遅れ,ヴィルシーナ,0.0,5,26359.0,2635.9,0.12,97.0,-1,8,0.8,34.45,0.8881987577639752,4
