,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,本番年齢
148,148,2011/05/28,3東京3,雨,11.0,目黒記念(G2),,17.0,7.0,14,7.6,4,4,安藤勝己,54.0,芝2500,稍,11.0,2:32.6,0.1,112.0,8-8-7-7,28.9-36.7,36.1,490(+2),,,キングトップガン,870.0,8,6653.2,511.7846153846154,0.4076923076923077,95.84615384615384,1,-4,-0.3076923076923077,35.276923076923076,0.6746987951807228,4
149,149,2011/01/23,1中山8,晴,11,アメリカジョッキーC(G2),,11,6,6,1.9,1.0,1,内田博幸,58.0,芝2200,良,-6,2:14.2,-0.1,110,5-5-4-3,37.9-35.1,34.7,484(-6),,,(ミヤビランベリ),6078.4,9,24452.199999999997,1880.9384615384613,0.06153846153846154,100.53846153846153,0,4,0.3076923076923077,35.14615384615384,0.8928571428571429,5
150,150,2011/04/03,2阪神4,晴,11,産経大阪杯(G2),,15,4,7,5.5,4,9,池添謙一,58,芝2000,良,-10,1:58.9,1.1,107,13-13-13-12,35.8-35.3,34.9,442(+8),,S不利,ヒルノダムール,0.0,10,84797.3,2826.576666666667,0.3600000000000001,108.8,-1,-25,-0.8333333333333334,34.45333333333333,0.750599520383693,7
151,151,2011/05/01,3京都4,曇,11,天皇賞(春)(G1),,18,1,1,20.8,9.0,7,岩田康誠,58,芝3200,稍,7,3:21.3,0.7,95,6-5-10-8,37.8-36.0,35.8,508(-2),,,ヒルノダムール,0.0,11,12674.7,633.735,0.62,85.5,6,5,0.2777777777777778,36.635,0.752895752895753,4
152,152,2010/11/28,5東京8,晴,10,ジャパンC(G1),,18,2,4,46.5,10,12,藤田伸二,57.0,芝2400,良,-4.0,2:25.8,0.6,104.0,1-1-1-1,36.4-34.4,35.3,500(+6),,,ローズキングダム,0.0,12,26390.9,1466.1611111111113,0.12777777777777777,107.05555555555556,0,-5,-0.2777777777777778,34.83888888888888,0.8031496062992126,8
153,153,2011/05/01,3京都4,曇,11,天皇賞(春)(G1),,18,5,9,3.1,1,13,四位洋文,58.0,芝3200,稍,7,3:22.3,1.7,88,1-1-3-3,37.8-36.0,37.3,524(-4),,,ヒルノダムール,0.0,13,28969.2,2228.4,0.19230769230769226,102.38461538461539,7,-3,-0.23076923076923078,34.61538461538462,0.8202247191011236,4
154,154,2011/05/01,3京都4,曇,11,天皇賞(春)(G1),,18,2,3,11.3,5.0,3.0,和田竜二,58.0,芝3200,稍,7.0,3:20.9,0.3,97.0,11-10-1-1,37.8-36.0,36.3,502(+2),,出遅れ,ヒルノダムール,3355.2,14.0,30344.7,1123.8777777777777,0.337037037037037,101.85185185185185,5,6,0.23076923076923078,35.34814814814815,0.7922077922077922,6
155,155,2011/05/28,3東京3,雨,11,目黒記念(G2),,17,6,12,28.1,10,12,三浦皇成,57.5,芝2500,稍,11,2:33.9,1.4,103,9-10-9-11,28.9-36.7,37.1,482(0),,,キングトップガン,0.0,15,23767.9,1131.804761904762,0.7190476190476192,97.71428571428571,2,1,0.05,35.67619047619048,0.6608391608391608,5
156,156,2010/03/21,1阪神8,晴,11,阪神大賞典(G2),,14,8,14,7.3,6,4,岩田康誠,58,芝3000,良,4,3:07.5,0.2,106,3-2-2-3,37.2-37.4,37.3,526(+28),,,トウカイトリック,980.0,16,51255.49999999999,2329.795454545454,0.8181818181818182,103.63636363636364,2,8,0.36363636363636365,36.10454545454545,0.6212624584717608,7
157,157,2010/04/24,2東京1,晴,11.0,メトロポリタンS(OP),,14.0,6.0,10,5.6,3.0,1,柴田善臣,56.0,芝2400,良,2.0,2:26.1,-0.3,110.0,4-4-3-3,36.1-34.5,34.3,464(+4),,,(トップカミング),2332.9,1,15729.5,1747.7222222222222,0.6222222222222222,99.77777777777777,0,7,0.7777777777777778,35.74444444444444,0.75,4
158,158,2010/05/16,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18.0,6.0,11,1.5,1.0,1,横山典弘,55.0,芝1600,良,-14.0,1:32.4,0.0,111.0,13-12,33.8-34.9,33.5,448(0),,,(ヒカルアマランサス),9382.2,2,65792.3,5482.691666666667,-0.05000000000000001,104.33333333333333,-1,2,0.16666666666666666,34.11666666666667,0.9550561797752809,4
159,159,2010/05/29,4京都3,晴,10.0,金鯱賞(G2),,14.0,4.0,5,2.9,1.0,1,佐藤哲三,57.0,芝2000,良,-10.0,1:59.5,-0.2,100.0,2-2-2-2,37.0-34.2,34.0,532(+4),,,(ドリームサンデー),6502.2,3,22427.100000000002,1495.14,0.1733333333333334,102.2,0,-6,-0.4,35.39333333333333,0.8743961352657005,5
160,160,2010/04/04,2阪神4,晴,10.0,産経大阪杯(G2),,12.0,6.0,8,1.2,1.0,3,池添謙一,59.0,芝2000,良,-3.0,1:59.6,0.1,109.0,11-10-11-8,36.0-35.4,34.6,434(-4),,,テイエムアンコール,1612.6,4,80176.90000000001,3083.7269230769234,0.3153846153846155,108.57692307692308,-1,-22,-0.8461538461538461,34.36923076923076,0.7802197802197802,6
