,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
131,131,2009/12/05,5中山1,曇,11,ステイヤーズS(G2),,16,7,13,6.0,2,3,柴田善臣,57.0,芝3600,稍,-11.0,3:51.6,0.3,95.0,11-11-10-8,38.9-34.7,34.4,548(-2),,,フォゲッタブル,1616.4,8,22742.3,614.6567567567567,0.6054054054054052,99.21621621621621
132,132,2011/01/09,1中山3,晴,10,迎春S(1600万下),,10,7,7,5.5,4,1,後藤浩輝,56.0,芝2500,良,-9.0,2:33.8,0.0,103.0,7-9-4-3,30.6-35.0,34.6,500(+2),,,(キクカタキシード),1798.0,9,11441.4,476.72499999999997,0.6,92.45833333333333
133,133,2010/02/13,2京都5,晴,11,アルデバランS(OP),,16,4,7,15.7,4,3,ルメール,57.0,ダ1900,重,-4.0,1:56.1,0.7,117.0,12-12-10-9,29.3-36.9,36.2,530(+2),,出遅れ,トランセンド,535.0,10,20137.699999999997,575.362857142857,0.6057142857142855,102.34285714285714
134,134,2010/05/29,4京都3,晴,9,白百合S(OP),,10,7,7,7.4,3.0,5,幸英明,56.0,芝1800,良,-10.0,1:46.3,1.0,97.0,4-3,34.0-35.4,36.1,504(0),,,ワイルドラズベリー,190.0,11,15871.100000000002,661.2958333333335,0.75,88.04166666666667
135,135,2011/04/24,2東京2,晴,10,メトロポリタンS(OP),,14,6,9,23.1,9,13,後藤浩輝,53.0,芝2400,良,4.0,2:28.9,0.9,89.0,3-3-3-3,36.9-35.8,36.5,550(+4),,,ケイアイドウソジン,0.0,13,7133.0,339.6666666666667,1.0,92.66666666666667
136,136,2010/12/11,5中山3,晴,12,3歳以上1000万下,,10,2,2,39.9,8,2,大庭和弥,57.0,芝2000,良,-9.0,2:00.0,0.1,102.0,2-3-2-2,35.1-36.1,35.9,476(+2),,,タカラサンデー,420.0,14,10343.6,235.0818181818182,0.8295454545454547,87.0
137,137,2010/11/27,5東京7,曇,11,プロミネントJT(1600万下),,15,8,14,38.4,10,10,藤田伸二,58.0,芝2000,良,-5.0,2:00.8,0.7,100.0,12-11-10,36.7-35.0,35.0,530(+4),,出遅れ,スノークラッシャー,0.0,15,6872.5,214.765625,0.8437500000000001,89.09375
138,138,2009/12/12,5阪神3,曇,3,2歳未勝利,,18,7,15,7.4,4,2,藤岡佑介,55.0,芝1600,稍,-1.0,1:35.2,0.2,89.0,1-1,35.5-35.5,35.7,468(0),,,カネトシディオス,200.0,16,20612.700000000004,1374.1800000000003,1.906666666666667,86.93333333333334
139,139,2009/10/03,4中山7,雨,2,2歳未勝利,,10,5,5,5.4,3,4,松岡正海,55,芝1800,稍,-7,1:51.8,0.4,69,3-3-5-4,37.6-36.1,36.1,484(-4),,,バイタルスタイル,75.0,1,12084.1,863.15,0.8214285714285714,89.35714285714286
140,140,2010/01/11,1中山4,曇,10,迎春S(1600万下),,12,7,9,2.1,1,1,安藤勝己,56,芝2500,良,-3,2:34.6,-0.1,103,10-10-9-9,30.6-35.5,34.7,452(+2),,,(ポルカマズルカ),1805.9,2,17608.199999999997,838.4857142857142,0.3666666666666667,92.14285714285714
141,141,2007/04/29,3京都4,晴,11.0,天皇賞(春)(G1),,16,7.0,14,12.5,7.0,13,北村宏司,58.0,芝3200,良,-13.0,3:15.4,1.3,107.0,15-15-16-15,36.9-34.8,35.2,470(-2),,出遅れ,メイショウサムソン,0.0,3,37002.0,1193.6129032258063,0.6709677419354839,106.09677419354838
142,142,2008/09/28,4阪神6,曇,10,神戸新聞杯(G2),,18,8,18,86.1,11,10,川田将雅,56,芝2400,良,-11.0,2:26.1,0.8,97.0,7-7-8-7,36.6-35.7,35.7,530(0),,,ディープスカイ,0.0,4,19994.3,644.9774193548387,0.5258064516129032,98.80645161290323
143,143,2009/01/18,1京都6,曇,5,3歳新馬,,12,3,3,1.7,1,5,武豊,56.0,芝2000,良,10,2:04.9,0.8,76,5-5-3-3,38.3-34.3,34.8,496(0),,,デルフォイ,70.0,5,23767.9,1398.1117647058825,0.5176470588235293,97.70588235294117
144,144,2009/10/18,4東京4,晴,12,3歳以上1000万下,,16,5,9,244.2,15.0,5,伊藤工真,54,ダ1600,良,-3.0,1:38.0,1.3,93.0,11-11,34.6-37.0,37.2,476(-2),,,クイックリープ,105.0,6,3158.5,112.80357142857143,1.175,90.92857142857143
145,145,2009/10/04,4中山8,晴,9,江戸川特別(1000万下),,15,4,8,7.3,4,4,北村宏司,55,ダ1800,稍,-3.0,1:53.0,0.1,102.0,6-6-7-5,35.8-39.3,39.1,514(+2),,,コロナグラフ,220.0,7,6018.0,231.46153846153845,0.6884615384615386,87.6923076923077
146,146,2010/11/07,5東京2,晴,11,アルゼンチン共和国杯(G2),,18,3,5,61.6,13,5,柴山雄一,56.0,芝2500,良,-7.0,2:31.0,1.0,105.0,13-14-13-13,28.9-35.8,35.8,444(0),,,トーセンジョーダン,580.0,8,18739.399999999998,646.1862068965517,0.8586206896551724,98.13793103448276
147,147,2010/09/05,1札幌8,曇,9,札幌日経OP(OP),,12,5,6,2.4,1,1,吉田隼人,53,芝2600,良,-5,2:40.7,-0.3,107,5-5-4-2,36.5-36.0,35.5,444(0),,,(ホクトスルタン),2326.6,9,8142.0,740.1818181818181,0.2727272727272727,93.63636363636364
148,148,2010/08/01,1小倉6,晴,10,小倉記念(G3),,17,4,7,176.5,17,14,国分恭介,53,芝2000,良,-8.0,1:59.3,1.4,95.0,10-9-12-13,34.3-35.2,35.8,506(+4),,,ニホンピロレガーロ,0.0,10,12327.8,410.9266666666666,1.1199999999999999,98.6
149,149,2009/02/01,1東京2,晴,7,4歳以上500万下,,16,1,2,124.9,13,9,伊藤工真,54,芝1800,稍,16.0,1:49.4,0.7,97.0,3-3-2,34.5-37.0,37.7,444(+2),,,メイショウマリア,0.0,11,6229.099999999999,183.20882352941175,1.0529411764705883,87.44117647058823
150,150,2010/07/11,1函館8,曇,9,巴賞(OP),,16,5,9,120.5,16.0,12,上村洋行,56,芝1800,良,17,1:52.5,0.8,89,13-11-6-7,37.9-35.3,35.6,468(+6),,,メイショウクオリア,0.0,12,10608.3,258.7390243902439,0.6000000000000001,92.07317073170732
151,151,2010/09/26,4中山6,晴,11,産経賞オールカマー(G2),,10,4,4,40.0,8.0,10,柴田善臣,57,芝2200,良,-9.0,2:24.9,13.5,14.0,2-2-10-10,35.7-35.3,47.7,538(+4),,,シンゲン,0.0,13,5588.4,372.56,1.5266666666666668,86.73333333333333
