,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,上り平均,勝率
73,73,2019/05/18,高知,曇,11,吉野川特別,,10,1,1,36.2,6.0,1,佐原秀泰,54,ダ1300,良,17.0,1:25.4,-0.4,64.0,5-5-4-3,0.0-40.6,39.6,439(0),,,(サクラシャイニー),70.0,2,882.4999999999999,10.50595238095238,0.8071428571428573,46.333333333333336,39.92380952380952,0.7031900138696255
74,74,2019/05/19,高知,雨,9,剛えり宮城・転勤特別,,12,7,10,4.1,2.0,3,多田羅誠,53,ダ1400,稍,0.0,1:32.3,0.7,46.0,4-5-4-3,0.0-40.4,40.7,497(0),,,セトノプロミス,14.0,3,3761.0,62.68333333333333,0.6966666666666669,69.25,38.17500000000002,0.6595460614152203
75,75,2019/05/18,高知,曇,5,Bー2,,11,6,6,4.6,3.0,4,塚本雄大,55,ダ1300,良,17.0,1:27.4,0.7,40.0,1-1-1-1,0.0-41.5,42.2,529(+6),,,エーブインブレム,9.0,4,5941.0,91.4,0.7261538461538464,58.66153846153846,39.521538461538476,0.6666666666666666
76,76,2019/05/03,高知,晴,9,祝理恵さん初来場特別,,8,1,1,14.1,3,3,永森大智,56,ダ1600,重,-15.0,1:45.4,1.1,45.0,6-6-5-5,0.0-39.5,40.0,494(-2),,,サクラエール,14.0,5,3214.5,47.97761194029851,0.9492537313432835,63.64179104477612,38.34179104477611,0.6064102564102564
77,77,2019/05/19,高知,雨,9,剛えり宮城・転勤特別,,12,8,11,4.0,1.0,11,郷間勇太,56,ダ1400,稍,0.0,1:33.4,1.8,33.0,6-6-7-7,0.0-40.4,41.7,472(0),,,セトノプロミス,0.0,6,6717.8,115.82413793103449,0.8586206896551724,74.67241379310344,38.33620689655172,0.5445945945945946
78,78,2019/05/19,高知,雨,9,剛えり宮城・転勤特別,,12,7,9,15.0,8.0,6,西川敏弘,56,ダ1400,稍,0.0,1:32.7,1.1,41.0,11-11-10-12,0.0-40.4,40.2,512(0),,,セトノプロミス,0.0,7,933.7,19.452083333333334,0.6895833333333332,50.708333333333336,39.62708333333333,0.7282850779510023
79,79,2019/05/18,高知,曇,5,Bー2,,11,2,2,44.3,8.0,1,多田羅誠,53,ダ1300,良,17.0,1:26.7,-0.3,48.0,4-4-5-4,0.0-41.5,40.5,455(+5),,,(グローリング),60.0,8,615.5,13.988636363636363,1.0022727272727274,47.84090909090909,39.845454545454544,0.613882863340564
80,80,2019/05/19,高知,雨,9,剛えり宮城・転勤特別,,12,3,3,28.7,10,9,宮川実,54,ダ1400,稍,0.0,1:33.1,1.5,37.0,1-3-3-4,0.0-40.4,41.7,483(+3),,,セトノプロミス,0.0,9,1564.2,62.568000000000005,0.9959999999999998,63.52,37.98,0.5709459459459459
81,81,2018/11/18,高知,晴,9,AB混合,,10,7,8,2.2,1.0,5,西川敏弘,56,ダ1400,重,-2,1:31.5,0.6,53,7-5-3-3,0.0-41.0,40.7,487(+1),,,クレスタラン,3.0,1,1236.0,47.53846153846154,0.973076923076923,66.38461538461539,38.526923076923076,0.6176470588235294
82,82,2018/12/02,高知,雨,10,SOOUP優駿特別,,10,6,6,2.6,2.0,2,倉兼育康,54,ダ1400,重,-1,1:30.6,0.1,64,2-3-2-2,0.0-39.6,39.4,514(-4),,,キクノグラード,24.5,2,882.5,31.517857142857142,0.5714285714285714,58.535714285714285,39.135714285714286,0.694006309148265
