,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,上り平均,勝率
118,118,2014/05/18,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18.0,5.0,9,4.4,2,4,蛯名正義,55.0,芝1600,良,-10.0,1:32.4,0.1,114.0,5-5,34.7-34.3,33.7,480(-2),,出遅れ,ヴィルシーナ,1400.0,15,49654.200000000004,1986.1680000000001,0.7519999999999998,96.44,35.516,0.7013698630136986
119,119,2014/05/11,2東京6,晴,11.0,NHKマイルC(G1),,18.0,5.0,10,1.9,1,1,浜中俊,57.0,芝1600,良,-9.0,1:33.2,0.0,105.0,1-1,34.6-34.8,34.8,478(+8),,,(タガノブルグ),9582.2,16,18829.8,2689.9714285714285,-2.7755575615628914e-17,94.14285714285714,35.4,0.8279569892473119
120,120,2014/05/17,2東京7,晴,11.0,京王杯スプリングC(G2),,15.0,5.0,9,38.4,10,1,北村宏司,56.0,芝1400,良,-10.0,1:19.7,-0.2,117.0,2-2,33.7-35.0,34.7,534(0),,,(クラレント),5819.0,17,33978.3,1258.4555555555557,0.7185185185185186,101.4074074074074,35.31111111111112,0.6691729323308271
121,121,2013/03/24,2中京6,晴,11.0,高松宮記念(G1),,17.0,6.0,11,1.3,1,1,岩田康誠,57,芝1200,良,-7.0,1:08.1,-0.2,116.0,9-7,34.3-33.8,33.2,498(-4),,出遅れ,(ドリームバレンチノ),9865.4,1,54931.399999999994,3662.093333333333,-0.1733333333333333,105.46666666666667,34.013333333333335,0.9723502304147466
122,122,2013/03/31,2阪神4,曇,11.0,産経大阪杯(G2),,14.0,3.0,3,9.6,2,2,浜中俊,57,芝2000,良,-9.0,1:59.1,0.1,108.0,13-13-12-10,36.7-33.7,32.9,512(+6),,,オルフェーヴル,2428.0,2,28094.699999999997,1652.6294117647058,0.2117647058823529,101.3529411764706,34.117647058823536,0.8269230769230769
123,123,2013/04/21,3京都2,晴,11.0,読売マイラーズC(G2),,18.0,6.0,12,6.1,3,3,Ｃ．デム,56,芝1600,良,-2.0,1:32.7,0.1,114.0,6-7,34.1-35.3,35.0,452(+4),,,グランプリボス,1419.2,3,22038.4,1049.4476190476191,0.1476190476190476,102.0952380952381,34.07142857142858,0.87
124,124,2013/05/12,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18.0,1.0,1,13.9,5,3,柴田大知,55,芝1600,良,-13.0,1:32.5,0.1,108.0,3-2,34.6-34.2,34.1,478(-6),,,ヴィルシーナ,2354.6,4,25205.0,1145.6818181818182,0.4227272727272728,99.31818181818181,34.71818181818182,0.7563739376770539
125,125,2013/03/24,2中京6,晴,11.0,高松宮記念(G1),,17.0,8.0,15,12.9,4,4,横山典弘,57.0,芝1200,良,-7.0,1:08.4,0.3,112.0,4-4,34.3-33.8,33.8,480(-4),,,ロードカナロア,1400.0,5,15654.4,920.8470588235294,0.24117647058823527,100.47058823529412,34.358823529411765,0.7458333333333333
126,126,2013/03/31,2阪神4,曇,11.0,産経大阪杯(G2),,14.0,3.0,4,10.2,3,5,戸崎圭太,56,芝2000,良,-9.0,1:59.5,0.5,104.0,3-2-3-3,36.7-33.7,33.9,504(-10),,,オルフェーヴル,600.0,6,34301.5,2017.735294117647,0.15882352941176467,107.82352941176471,34.35882352941176,0.8608695652173913
127,127,2013/05/11,2東京7,雨,11.0,京王杯スプリングC(G2),,18.0,2.0,4,13.8,6,3,石橋脩,56.0,芝1400,稍,-2.0,1:20.7,0.1,113.0,7-6,33.9-34.9,34.5,474(-2),,,ダイワマッジョーレ,1419.6,7,26333.9,797.9969696969697,0.5424242424242424,103.21212121212122,35.009090909090915,0.6575342465753424
128,128,2013/05/12,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18.0,6.0,11,3.1,1,1,内田博幸,55,芝1600,良,-13.0,1:32.4,0.0,109.0,2-2,34.6-34.2,34.0,450(-6),,,(ホエールキャプチャ),9382.2,8,33348.09999999999,2779.0083333333328,0.17499999999999996,95.5,34.47500000000001,0.8848484848484849
129,129,2013/05/11,2東京7,雨,11.0,京王杯スプリングC(G2),,18.0,7.0,15,4.7,1.0,1,蛯名正義,56.0,芝1400,稍,-2.0,1:20.6,-0.1,115.0,8-8,33.9-34.9,34.1,436(0),,,(トライアンフマーチ),5637.2,9,16939.0,1209.9285714285713,0.21428571428571427,102.0,34.29285714285714,0.8342541436464088
130,130,2013/04/21,3京都2,晴,11.0,読売マイラーズC(G2),,18.0,8.0,17,9.3,5.0,1,浜中俊,57,芝1600,良,-2.0,1:32.6,-0.1,115.0,9-8,34.1-35.3,34.8,522(+10),,,(サンレイレーザー),5634.4,10,45825.9,2411.8894736842108,0.38947368421052636,106.84210526315789,34.631578947368425,0.7441077441077442
131,131,2012/06/03,3東京2,曇,11.0,安田記念(G1),,18.0,7.0,14,8.7,3,14,ホワイト,58.0,芝1600,良,-15.0,1:32.4,1.1,107.0,14-14,33.8-35.0,34.6,478(-2),,,ストロングリターン,0.0,11,0.0,0.0,0.9,109.5,34.2,0.3235294117647059
132,132,2013/05/05,1新潟2,晴,11.0,新潟大賞典(G3),,16.0,1.0,2,2.9,1.0,5,柴田善臣,58.0,芝2000,良,-5.0,1:57.7,0.8,109.0,11-11,34.4-35.1,34.4,484(-2),,直線不利,パッションダンス,400.0,12,28768.399999999998,1438.4199999999998,0.495,100.35,34.730000000000004,0.7971014492753623
133,133,2013/05/11,2東京7,雨,11.0,京王杯スプリングC(G2),,18.0,7.0,14,5.4,3,7,武豊,58.0,芝1400,稍,-2.0,1:20.9,0.3,113.0,13-13,33.9-34.9,34.0,512(+3),,出遅れ,ダイワマッジョーレ,0.0,13,35392.00000000001,1966.2222222222226,0.42222222222222217,105.27777777777777,34.46666666666667,0.7536231884057971
134,134,2013/04/21,3京都2,晴,11.0,読売マイラーズC(G2),,18.0,5.0,9,2.2,1,4,秋山真一,58.0,芝1600,良,-2.0,1:32.7,0.1,114.0,3-3,34.1-35.3,35.1,474(+8),,,グランプリボス,830.0,14,24758.000000000004,2750.888888888889,0.2888888888888889,103.44444444444444,35.388888888888886,0.7588652482269503
135,135,2013/05/05,1新潟2,晴,11.0,新潟大賞典(G3),,16.0,3.0,5,56.1,11,14,柴山雄一,57.0,芝2000,良,-5.0,1:58.4,1.5,103.0,13-13,34.4-35.1,35.1,492(-6),,,パッションダンス,0.0,15,38498.299999999996,836.9195652173912,0.741304347826087,104.73913043478261,34.80434782608697,0.6060171919770774
136,136,2013/05/05,2東京6,晴,11.0,NHKマイルC(G1),,18.0,7.0,15,2.9,1,7,内田博幸,57,芝1600,良,-13.0,1:33.1,0.4,102.0,3-3,34.4-34.9,35.1,528(+4),,直線不利,マイネルホウオウ,0.0,17,14951.300000000001,1868.9125000000001,0.2375,96.625,35.4,0.7410714285714286
137,137,2013/05/11,2東京7,雨,11.0,京王杯スプリングC(G2),,18.0,6.0,11,14.8,8,16,酒井学,56,芝1400,稍,-2.0,1:21.7,1.1,100.0,5-5,33.9-34.9,35.7,506(-2),,,ダイワマッジョーレ,0.0,18,39732.8,749.6754716981133,0.5830188679245282,99.75471698113208,35.82641509433962,0.5909090909090909
