,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
131,131,2013/06/22,3東京7,曇,11,夏至S(1600万下),,16,6,11,40.2,9,13,柴田善臣,53,ダ1600,重,-14,1:37.6,1.5,91,6-5,35.4-35.7,36.9,462(-2),,出遅れ,タイムズアロー,0.0,18,7958.7,331.6125,0.7875,92.20833333333333
132,132,2012/03/25,3中山2,晴,10,常総S(1600万下),,9,8,9,4.5,2,3,後藤浩輝,55.0,芝2000,稍,13,2:03.7,0.2,98,4-3-3-2,38.4-35.1,35.1,466(+12),,,タムロスカイ,433.6,1,23207.300000000003,828.8321428571429,0.31785714285714295,94.92857142857143
133,133,2010/11/20,6京都5,晴,6,2歳新馬,,17,5,10,26.3,10,14,藤田伸二,54.0,芝1600,良,-6,1:38.2,2.1,49,11-11,36.6-34.8,36.1,458(0),,,リトルダーリン,0.0,3,5262.6,584.7333333333333,0.2666666666666667,85.44444444444444
134,134,2011/09/24,4中山5,晴,8,3歳以上500万下,,17,5,10,40.1,10,4,柴田大知,52.0,芝2000,良,-17,2:00.4,0.6,93,11-11-9-9,35.6-35.8,35.6,438(-4),,,ビコーペグー,110.0,4,7440.8,391.62105263157895,0.5368421052631579,85.3157894736842
135,135,2011/07/30,3新潟5,晴,12,3歳以上500万下,,17,6,11,8.8,4,2,武豊,52.0,芝1800,稍,1,1:46.6,0.0,98,16-16,35.0-34.9,33.7,458(+6),,出遅れ,イッツスパーブ,300.0,5,11773.5,784.9,0.3466666666666667,98.26666666666667
136,136,2012/06/17,3阪神6,曇,11,マーメイドS(G3),,14,5,7,28.5,10,3,酒井学,50.0,芝2000,良,-3,2:00.2,0.3,102,12-13-12-9,35.5-36.5,35.8,438(+2),,,グルヴェイグ,887.2,6,5900.0,178.78787878787878,0.6181818181818183,87.93939393939394
137,137,2011/10/16,5京都4,晴,11,秋華賞(G1),,18,7,15,16.1,4,15,松岡正海,55.0,芝2000,稍,-7,2:00.8,2.6,88,9-9-11-12,34.6-35.8,36.7,458(-2),,,アヴェンチュラ,0.0,7,16376.1,909.7833333333333,0.49444444444444446,97.22222222222223
138,138,2011/09/10,4中山1,晴,11,紫苑S(OP),,15,8,15,6.2,3,6,横山典弘,54.0,芝2000,良,-23,1:59.0,0.8,96,6-4-5-6,34.6-35.2,35.6,434(+8),,,カルマート,0.0,8,10472.699999999999,654.5437499999999,0.39375,98.125
139,139,2010/07/03,1函館5,曇,4,2歳新馬,,11,1,1,5.9,4,2,横山典弘,54.0,芝1200,良,-7,1:11.4,0.2,69,6-7,35.0-36.2,35.9,458(0),,出遅れ,ジョーアカリン,280.0,10,35491.7,2218.23125,0.4437500000000001,95.625
140,140,2012/05/13,2東京8,晴,11,ヴィクトリアマイル(G1),,18,5,10,7.6,5,15,池添謙一,55.0,芝1600,良,-9,1:33.6,1.2,102,13-16,34.4-34.2,34.3,472(-10),,出遅れ,ホエールキャプチャ,0.0,11,29028.299999999996,1036.725,0.3892857142857143,97.21428571428571
141,141,2012/08/19,2札幌2,晴,11,札幌記念(G2),,14,2,2,53.7,11,6,岩田康誠,55.0,芝2000,良,-17,1:59.3,0.6,104,5-5-8-8,35.0-35.2,35.3,460(-2),,,フミノイマージン,0.0,12,11366.3,270.62619047619046,0.5333333333333332,88.21428571428571
142,142,2012/10/13,4東京4,晴,11,府中牝馬S(G2),,17,2,4,42.5,11,12,秋山真一,54.0,芝1800,良,-10,1:46.1,0.6,108,15-13-14,35.5-34.0,33.0,444(0),,出遅れ,マイネイサベル,0.0,13,6547.9,344.62631578947367,0.4947368421052632,88.52631578947368
