,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
123,123,2021/01/30,佐賀,曇,8,球磨川賞,,9,8,9,1.6,1.0,1.0,真島正徳,56,ダ1800,稍,5.0,1:57.5,-0.2,70.0,2-2-2-2,0.0-38.2,38.1,511(-1),,,(マイネルジャスト),120.0,2.0,8550.4,185.8782608695652,0.8478260869565216,86.1086956521739
124,124,2021/02/11,佐賀,晴,6,佐賀記念(G3),,12,4,4,396.2,10,8,真島正徳,56.0,ダ2000,良,4,2:10.0,5.0,84,9-9-9-9,0.0-36.4,39.6,501(0),,,クリンチャー,0.0,3,2295.5,33.268115942028984,1.1391304347826083,63.88405797101449
125,125,2019/11/10,3福島4,晴,8,3歳以上1勝クラス,,14,6,10,6.9,4,2,団野大成,54,ダ1700,良,5.0,1:47.3,0.2,89.0,7-7-6-4,29.8-39.3,38.8,470(0),,,テイエムクロムシャ,300.0,4,3170.1,90.57428571428571,0.9828571428571428,76.25714285714285
126,126,2021/03/14,佐賀,晴,11,アクアマリン賞,,9,2,2,5.0,4.0,4,竹吉徹,56.0,ダ1300,稍,0,1:22.4,0.5,67,6-6-6-6,0.0-37.6,37.2,524(+2),,,キタカラキタムスメ,5.1,5,1332.4,35.06315789473685,0.2763157894736842,59.026315789473685
127,127,2021/04/24,佐賀,晴,4,高千穂峰特別,,10,2,2,17.7,6,5,石川慎将,55,ダ1800,良,13.0,1:58.7,0.8,68.0,4-4-4-4,0.0-39.9,39.8,490(-4),,,ゲットワイルド,7.8,6,3133.7,97.928125,0.5812499999999999,77.0
128,128,2021/02/13,佐賀,曇,12,デイジー賞,,9,8,9,10.6,4.0,4.0,兒島真二,54,ダ1400,良,3.0,1:30.0,1.6,58.0,8-8-8-8,0.0-37.8,37.7,455(-6),,,データヴァリュー,4.0,7.0,1276.0,51.04,1.428,52.32
129,129,2020/11/17,金沢,晴,9,加賀四湯賞,,10,3,3,33.3,6.0,5,沖静男,56,ダ1500,良,7.0,1:37.4,1.6,67.0,8-8-8-7,0.0-38.4,38.9,493(-10),,,サトノファンタシー,6.4,8,6358.7,78.50246913580247,1.701234567901234,73.76543209876543
130,130,2021/02/28,佐賀,晴,9,ウインターチャンピオ(G),,9,8,8,10.5,3.0,5,倉富隆一,54,ダ1400,稍,2,1:28.8,2.0,71,2-2-2-3,0.0-36.9,38.6,470(+5),,,ドラゴンゲート,15.0,9,1298.7,34.17631578947368,0.8736842105263158,63.21052631578947
131,131,2021/04/24,佐賀,晴,11,君子蘭賞,,11,4,4,31.0,4.0,11,出水拓人,56.0,ダ1400,良,13.0,1:32.4,2.5,41.0,6-5-6-9,0.0-39.2,41.1,493(+4),,,ゴールドメファ,0.0,10,3631.5,28.821428571428573,1.2722222222222226,58.04761904761905
132,132,2021/05/09,佐賀,晴,7,佐賀スプリングC(G),,11,4,4,388.3,10.0,10.0,岩永千明,56,ダ1800,良,7.0,2:03.1,5.1,24.0,11-11-11-11,0.0-38.5,40.6,445(-5),,,パイロキネシスト,0.0,11.0,4617.2,45.714851485148515,1.7792079207920797,55.99009900990099
