index,開催所,平均タイム,平均上り
319,中京ダ1900良,123.403583061889,38.7744
320,中京ダ1900稍重,122.866,38.828717948718
321,中京ダ1900重,121.129017857143,37.9917647058823
322,中京ダ1900不良,120.778443113772,37.6828571428571
323,中京ダ2300良,151.40659025788,38.5588
324,中京ダ2300稍重,150.594387755102,38.72
325,中京ダ2300重,150.846,38.48
326,中京ダ2300不良,149.705607476636,38.5977777777778
327,中京ダ2500良,166.614285714286,38.48
328,京都芝1200良,70.1847701149425,34.4936
329,京都芝1200稍重,71.6980982567353,38.2136170212766
330,京都芝1200重,72.033670886076,36.956
331,京都芝1200不良,72.57375,36.1927272727273
332,京都芝1400良,83.2564814814815,34.882
333,京都芝1400稍重,84.3391711229947,35.5328
334,京都芝1400重,85.0507142857143,38.8055172413793
335,京都芝1400不良,87.1705035971223,41.504
336,京都芝1600良,96.2396332863188,35.1944
337,京都芝1600稍重,97.4261904761905,35.8244
338,京都芝1600重,98.4535558780842,37.5587755102041
339,京都芝1600不良,100.299696048632,39.0618181818182
340,京都芝1800良,109.589848484848,35.1032
341,京都芝1800稍重,111.108469539376,35.7684
342,京都芝1800重,111.954072790295,37.2231818181818
343,京都芝1800不良,112.491791044776,36.934
344,京都芝2000良,123.500316957211,35.4644
345,京都芝2000稍重,124.892962356792,35.9848
346,京都芝2000重,125.180922431866,38.6118918918919
347,京都芝2000不良,128.813106796117,40.4973333333333
348,京都芝2200良,135.608936825886,35.0728
349,京都芝2200稍重,138.3475,39.0507692307692
350,京都芝2200重,138.967065868263,36.0916666666667
351,京都芝2200不良,142.686956521739,38.375
352,京都芝2400良,148.0868173258,35.212
353,京都芝2400稍重,151.0455,37.1633333333333
354,京都芝2400重,151.530107526882,36.4625
355,京都芝2400不良,154.931481481482,43.9
356,京都ダ1200良,74.4630581867388,37.2588
357,京都ダ1200稍重,74.7330655957162,37.31
358,京都ダ1200重,73.3724860335196,36.7196
359,京都ダ1200不良,73.3462745098039,36.752
360,京都ダ1400良,87.0915789473684,37.734
361,京都ダ1400稍重,87.808446866485,38.046
362,京都ダ1400重,86.5470013947001,37.3872
363,京都ダ1400不良,86.3487074829932,37.4024
364,京都ダ1700良,113.558620689655,52.475
365,京都ダ1800良,115.815588235294,38.2048
366,京都ダ1800稍重,116.246523178808,38.7212
367,京都ダ1800重,114.667726550079,37.9524
368,京都ダ1800不良,114.372713178295,37.78
369,京都ダ1900良,122.372204968944,38.2148
370,京都ダ1900稍重,121.347440273038,37.9116666666667
371,京都ダ1900重,120.929518072289,37.848
372,京都ダ1900不良,119.473404255319,37.3714285714286
373,阪神芝1200良,70.6523736600306,34.7068
374,阪神芝1200稍重,71.6808477237049,35.5824
375,阪神芝1200重,72.0836283185841,37.2941176470588
376,阪神芝1200不良,73.5619047619047,43.1333333333333
377,阪神芝1400良,83.0493827160494,35.222
378,阪神芝1400稍重,84.046978021978,35.7088
379,阪神芝1400重,84.8744252873563,38.195652173913
380,阪神芝1400不良,87.5466666666667,37.1
381,阪神芝1600良,96.0761049723757,34.4876
382,阪神芝1600稍重,96.8111269614836,35.0732
383,阪神芝1600重,98.7447562776957,38.6678260869565
384,阪神芝1600不良,99.5083333333333,40.1111111111111
385,阪神芝1800良,108.794425675676,34.6784
386,阪神芝1800稍重,110.014520958084,35.2828
387,阪神芝1800重,110.94431372549,35.8729411764706
388,阪神芝1800不良,114.155555555556,38.3
389,阪神芝2000良,123.064298401421,35.6884
390,阪神芝2000稍重,125.02416918429,37.6946666666667
391,阪神芝2000重,126.036805555556,37.03125
392,阪神芝2000不良,127.433333333333,38.7
393,阪神芝2200良,135.967525035765,35.6884
394,阪神芝2200稍重,138.287706855792,37.6946666666667
395,阪神芝2200重,138.69406779661,37.03125
396,阪神芝2200不良,139.152941176471,38.7
397,阪神芝2400良,149.055992844365,34.8656
398,阪神芝2400稍重,150.842388059701,35.8192857142857
399,阪神芝2400重,152.305737704918,35.906
400,阪神芝2400不良,151.781818181818,36.96
401,阪神芝2500良,156.986587771203,38.0152380952381
402,阪神芝2500稍重,158.892222222222,36.5625
403,阪神芝2500重,156.34375,36.44
404,阪神芝2500不良,160.2,37.81
405,阪神芝2600良,161.3,35.4057142857143
406,阪神芝2600稍重,164.045098039216,36.54
407,阪神芝2600重,163.992857142857,35.86
408,阪神ダ1200良,74.7445517241379,37.584
409,阪神ダ1200稍重,74.0605849582173,37.1532
410,阪神ダ1200重,73.3828016643551,36.7448
411,阪神ダ1200不良,73.2024869109948,36.7616
412,阪神ダ1400良,87.3507503410641,38.0376
413,阪神ダ1400稍重,87.2186556927298,38.0568
414,阪神ダ1400重,86.2208835341366,37.5512
415,阪神ダ1400不良,85.8859395532195,37.3096
416,阪神ダ1700良,111.598360655738,52.64
417,阪神ダ1700稍重,110.817543859649,52.65
418,阪神ダ1700重,109.360975609756,50.875
419,阪神ダ1700不良,110.811363636364,51.74
420,阪神ダ1800良,117.335018050542,38.774
421,阪神ダ1800稍重,116.428475711893,38.652
422,阪神ダ1800重,115.25952,38.0236
423,阪神ダ1800不良,114.609188361409,38.0732
424,阪神ダ2000良,129.436683417085,38.6184
425,阪神ダ2000稍重,128.903641456583,38.5135714285714
426,阪神ダ2000重,126.910606060606,37.84125
427,阪神ダ2000不良,127.015306122449,37.915
428,小倉芝1000良,59.2908289241623,35.1348
429,小倉芝1000稍重,59.5439635535308,35.4582857142857
430,小倉芝1000重,60.1391304347826,35.789375
431,小倉芝1000不良,60.9421052631579,36.4516666666667
432,小倉芝1200良,69.4213720316623,34.716
433,小倉芝1200稍重,70.5438188494492,35.4172
434,小倉芝1200重,71.2187198067633,35.7616
435,小倉芝1200不良,72.6153609831029,
436,小倉芝1700良,102.395290423862,35.5536
437,小倉芝1700稍重,104.278645833333,36.2973333333333
438,小倉芝1700重,105.190384615385,37.025
439,小倉芝1700不良,105.639473684211,37.6266666666667
440,小倉芝1800良,109.325384615385,35.2952
441,小倉芝1800稍重,110.596852646638,36.0408
442,小倉芝1800重,111.579367262724,36.352
