,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
168,168,2007/09/16,4中山4,晴,11,セントライト記念(G2),,17,6,11,64.8,14,3,木幡初広,56,芝2200,良,-14,2:12.7,0.7,100,4-5-2-2,34.3-35.6,36.1,466(-2),,,ロックドゥカンブ,1418.8,5,42631.100000000006,2368.3944444444446,0.38888888888888884,95.61111111111111
169,169,2007/10/21,4京都7,晴,11,菊花賞(G1),,18,6,12,11.4,6,2,和田竜二,57.0,芝3000,良,-5,3:05.1,0.0,115,6-6-6-5,36.3-36.2,35.5,544(+2),,,アサクサキングス,5658.8,6,18679.7,1334.2642857142857,0.3428571428571429,100.14285714285714
170,170,2006/11/12,6京都4,晴,11,エリザベス女王杯(G1),,15,8,16,2.7,1,12(降),本田優,54,芝2200,良,0,2:11.4,-0.2,125,9-10-8-7,34.8-36.5,34.5,490(-2),,1位入線降着,フサイチパンドラ,0.0,7,32516.6,2709.7166666666667,0.19166666666666657,106.91666666666667
171,171,2008/11/30,5東京8,晴,10.0,ジャパンC(G1),,17,1.0,2,6.5,3,6,石橋守,57.0,芝2400,良,-5.0,2:26.0,0.5,102.0,5-5-6-6,36.6-34.4,34.4,516(0),,,スクリーンヒーロー,0.0,8,102508.59999999999,5125.429999999999,0.255,111.85
172,172,2008/09/28,4阪神6,曇,10,神戸新聞杯(G2),,18,3,5,128.6,14,12,藤岡佑介,56,芝2400,良,-11,2:26.5,1.2,96,14-13-13-13,36.6-35.7,35.6,490(+10),,出遅れ,ディープスカイ,0.0,9,12905.800000000001,1173.2545454545455,0.5272727272727273,96.72727272727273
173,173,2008/03/09,2中山4,晴,11,報知杯弥生賞(G2),,16,5,9,30.5,10,9,武士沢友,56,芝2000,良,0,2:02.5,0.7,97,12-13-13-12,36.1-35.2,34.6,486(+2),,,マイネルチャールズ,0.0,10,6680.0,477.14285714285717,0.5428571428571428,98.0
174,174,2006/11/26,5東京8,小雨,10.0,ジャパンC(G1),,11,8.0,10,40.9,6.0,4,五十嵐冬,57,芝2400,良,2.0,2:25.7,0.6,117.0,1-1-1-1,37.0-34.3,34.9,510(+10),,,ディープインパクト,3800.0,11,14378.6,898.6625,1.1125,107.875
175,175,2007/10/28,4東京9,晴,11.0,天皇賞(秋)(G1),,16,8,16,32.4,8.0,15,蛯名正義,58,芝2000,稍,-9.0,2:00.1,1.7,101.0,10-10-10,36.1-35.0,35.8,486(+4),,出遅れ,メイショウサムソン,0.0,12,57806.1,3211.45,0.24444444444444446,109.11111111111111
176,176,2006/06/11,2中京8,小雨,2,3歳未勝利,,16,4,8,34.1,8,5,上村洋行,56.0,芝2500,良,3.0,2:39.5,1.3,75.0,8-8-9-8,31.9-36.0,36.4,438(-10),,,ロケットシュート,50.0,13,13275.1,829.69375,0.7062500000000002,93.375
177,177,2007/06/24,3阪神4,小雨,11,宝塚記念(G1),,18,7,15,55.5,11,15,松岡正海,53,芝2200,稍,4,2:17.3,4.9,79,3-3-3-16,33.5-36.9,41.4,494(+6),,4角不利,アドマイヤムーン,0.0,14,37186.49999999999,2324.1562499999995,0.73125,102.3125
