,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,予想タイム差,着差平均_condision,勝率_condision,上り差平均,着差平均_speed,勝率_speed,着差平均,上り平均,着順平均,タイム計算平均,種牡馬成績,母父成績
42,42,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,3,6,2.9,1,1,富田暁,56,ダ1800,良,**,1:51.1,-0.2,**,5-6-7-6,37.2-37.1,36.5,492(+6),,,(サンライズウルス),2243.4,1,-4.273410818263929,0.13571428571428573,0.9108910891089109,2.053359999999999,0.13571428571428573,0.9108910891089109,0.175,35.800000000000004,2.75,,,
43,43,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,3,5,7.3,4,2,岩田望来,56,ダ1800,良,**,1:51.3,0.2,**,15-12-12-9,37.2-37.1,36.3,488(+4),,,ハギノアレグリアス,892.4,2,-3.6198284283953077,0.6416666666666667,0.7093023255813954,1.681799999999999,0.41111111111111115,0.8015267175572519,0.33333333333333326,36.355555555555554,3.888888888888889,,,
44,44,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,7,13,27.7,10,3,国分恭介,56,ダ1800,良,**,1:51.4,0.3,**,1-1-1-1,37.2-37.1,37.4,460(+12),,,ハギノアレグリアス,556.2,3,-2.6609592400714206,1.6735294117647062,0.6333333333333333,-0.2546461538461545,0.5041666666666667,0.7975460122699386,1.5050000000000003,39.25500000000001,6.05,,,
45,45,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,1,2,13.9,6,4,浜中俊,56,ダ1800,良,**,1:52.0,0.9,**,5-5-5-4,37.2-37.1,37.6,468(+4),,,ハギノアレグリアス,330.0,4,-3.2556007105385856,0.6214285714285713,0.7231638418079096,0.6211333333333334,0.7366666666666667,0.6825396825396826,0.5875,37.887499999999996,4.75,,,
46,46,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,6,11,6.4,2,5,武豊,56,ダ1800,良,**,1:52.1,1.0,**,3-3-2-2,37.2-37.1,37.8,524(-6),,,ハギノアレグリアス,220.0,5,-1.1800959706305036,0.5545454545454546,0.8551724137931035,0.7424000000000008,0.21000000000000002,0.9112903225806451,0.4000000000000001,37.99166666666667,,,,
47,47,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,2,3,14.2,7,6,和田竜二,56,ダ1800,良,**,1:52.5,1.4,**,8-8-8-6,37.2-37.1,37.8,490(+8),,,ハギノアレグリアス,,6,-3.4229908471262513,0.5166666666666667,0.7222222222222222,1.2314000000000014,0.4272727272727273,0.782312925170068,0.5461538461538462,37.53846153846153,5.461538461538462,,,
48,48,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,4,8,6.9,3,7,藤岡康太,56,ダ1800,良,**,1:52.5,1.4,**,8-10-10-9,37.2-37.1,37.7,488(+10),,,ハギノアレグリアス,,7,-3.441895091190055,0.4117647058823529,0.8205128205128205,0.660623443223443,0.5444444444444443,0.805668016194332,0.5473684210526314,37.44736842105262,3.9473684210526314,,,
49,49,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,5,10,72.3,14,8,鮫島克駿,54,ダ1800,良,**,1:52.6,1.5,**,14-15-15-15,37.2-37.1,37.2,462(-8),,,ハギノアレグリアス,,8,-3.848188273340591,1.2625000000000002,0.6153846153846154,-0.45164444444444346,0.53,0.6909090909090909,1.2684210526315791,38.0,5.947368421052632,,,
50,50,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,7,14,192.0,16,9,角田大河,56,ダ1800,良,**,1:52.7,1.6,**,12-12-12-12,37.2-37.1,37.7,504(-6),,,ハギノアレグリアス,,9,-2.587238495072512,1.1222222222222222,0.6076923076923076,0.08309090909090858,0.8975000000000002,0.5570469798657718,0.9358974358974359,36.199999999999996,7.589743589743589,,,
51,51,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,1,1,57.1,13,10,小沢大仁,54,ダ1800,良,**,1:53.3,2.2,**,8-10-11-12,37.2-37.1,38.4,510(+2),,,ハギノアレグリアス,,10,-3.3529701445272533,0.8925925925925926,0.6657303370786517,0.8917899999999999,0.8115384615384615,0.673469387755102,0.9172413793103448,37.44137931034483,5.862068965517241,,,
52,52,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,5,9,77.7,15.0,11.0,池添謙一,56,ダ1800,良,**,1:53.5,2.4,**,15-16-14-12,37.2-37.1,38.3,460(-18),,,ハギノアレグリアス,,11.0,-2.761136396937946,1.236363636363636,0.45925925925925926,0.7126562500000002,1.11875,0.5,1.1,36.58181818181818,7.181818181818182,,100.0,
53,53,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,6,12,8.9,5,13,松若風馬,56,ダ1800,良,**,1:53.8,2.7,**,5-6-5-4,37.2-37.1,39.4,496(0),,,ハギノアレグリアス,,13,-4.0549972308305335,0.6,0.8461538461538461,0.20533333333333323,0.5750000000000001,0.6544502617801047,0.5307692307692308,35.71923076923076,4.730769230769231,,,
54,54,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,8,15,24.4,9,14,酒井学,56,ダ1800,良,**,1:54.0,2.9,**,8-8-8-9,37.2-37.1,39.3,476(-6),,,ハギノアレグリアス,,14,-3.9790413274611662,0.8200000000000001,0.6992481203007519,0.9725142857142869,0.2222222222222222,0.8188976377952756,0.7454545454545454,35.518181818181816,4.7272727272727275,,,
